,,,"Abbotsford, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  141397,,,...,,..., 4648055,,,...,,...
"Population and dwellings","Population; 2011",1,  133497,,,...,,..., 4400057,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.9,,,...,,...,      5.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   51770,,,...,,..., 2063417,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   49040,,,...,,..., 1881969,,,...,,...
"Population and dwellings","Population density per square kilometre",,  376.5,,,...,,...,    5.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    375.55,,,...,,..., 922503.01,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  141395,,   69640,,   71760,, 4648055,, 2278245,, 2369815,
"Age characteristics","  0 to 14 years",,   25995,,   13400,,   12590,,  691390,,  355400,,  335985,
"Age characteristics","    0 to 4 years",,    8480,,    4330,,    4145,,  220625,,  113355,,  107275,
"Age characteristics","    5 to 9 years",,    8950,,    4625,,    4325,,  236900,,  122070,,  114830,
"Age characteristics","    10 to 14 years",,    8565,,    4445,,    4120,,  233860,,  119975,,  113885,
"Age characteristics","  15 to 64 years",,   91555,,   45415,,   46140,, 3107680,, 1527280,, 1580400,
"Age characteristics","    15 to 19 years",,    8930,,    4610,,    4325,,  258980,,  133000,,  125985,
"Age characteristics","    20 to 24 years",,    9330,,    4780,,    4545,,  287560,,  147615,,  139945,
"Age characteristics","    25 to 29 years",,    9335,,    4685,,    4650,,  303000,,  151585,,  151415,
"Age characteristics","    30 to 34 years",,    9775,,    4830,,    4950,,  313750,,  155035,,  158715,
"Age characteristics","    35 to 39 years",,    9065,,    4450,,    4610,,  293590,,  143070,,  150520,
"Age characteristics","    40 to 44 years",,    8760,,    4255,,    4505,,  295045,,  141930,,  153115,
"Age characteristics","    45 to 49 years",,    9135,,    4480,,    4650,,  322365,,  155325,,  167040,
"Age characteristics","    50 to 54 years",,    9365,,    4725,,    4640,,  354375,,  172065,,  182310,
"Age characteristics","    55 to 59 years",,    9375,,    4555,,    4825,,  354925,,  171210,,  183715,
"Age characteristics","    60 to 64 years",,    8485,,    4045,,    4440,,  324095,,  156450,,  167645,
"Age characteristics","  65 years and over",,   23845,,   10820,,   13030,,  848985,,  395560,,  453425,
"Age characteristics","    65 to 69 years",,    7630,,    3535,,    4100,,  287520,,  139490,,  148035,
"Age characteristics","    70 to 74 years",,    5575,,    2700,,    2875,,  201785,,   97675,,  104110,
"Age characteristics","    75 to 79 years",,    4150,,    1915,,    2240,,  145225,,   68715,,   76510,
"Age characteristics","    80 to 84 years",,    3075,,    1420,,    1655,,  105255,,   48645,,   56610,
"Age characteristics","    85 years and over",,    3425,,    1255,,    2170,,  109190,,   41035,,   68155,
"Age characteristics","      85 to 89 years",,    2085,,     820,,    1260,,   67510,,   27930,,   39575,
"Age characteristics","      90 to 94 years",,    1020,,     345,,     675,,   31815,,   10615,,   21205,
"Age characteristics","      95 to 99 years",,     285,,      85,,     200,,    8545,,    2215,,    6330,
"Age characteristics","      100 years and over",,      40,,       5,,      30,,    1325,,     275,,    1050,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   18.4,,   19.2,,   17.5,,   14.9,,   15.6,,   14.2,
"Age characteristics","  15 to 64 years",,   64.8,,   65.2,,   64.3,,   66.9,,   67.0,,   66.7,
"Age characteristics","  65 years and over",,   16.9,,   15.5,,   18.2,,   18.3,,   17.4,,   19.1,
"Age characteristics","    85 years and over",,    2.4,,    1.8,,    3.0,,    2.3,,    1.8,,    2.9,
"Age characteristics","Average age of the population",,   39.9,,   38.9,,   40.9,,   42.3,,   41.5,,   43.1,
"Age characteristics","Median age of the population",,   39.0,,   37.8,,   40.2,,   43.0,,   41.9,,   44.0,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   49040,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   19540,,,...,,...,  830660,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    1000,,,...,,...,  177830,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   28220,,,...,,...,  824190,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    1320,,,...,,...,   57395,,,...,,...
"Household and dwelling characteristics","    Row house",,    4290,,,...,,...,  147830,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,   10215,,,...,,...,  230075,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   12335,,,...,,...,  385140,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,      60,,,...,,...,    3755,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     285,,,...,,...,   49290,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   49040,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  1 person",,   11700,,,...,,...,  541910,,,...,,...
"Household and dwelling characteristics","  2 persons",,   15485,,,...,,...,  663770,,,...,,...
"Household and dwelling characteristics","  3 persons",,    6905,,,...,,...,  277690,,,...,,...
"Household and dwelling characteristics","  4 persons",,    7100,,,...,,...,  243125,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    7850,,,...,,...,  155470,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  138555,,,...,,..., 4560240,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.8,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  115405,,   56235,,   59170,, 3956665,, 1922840,, 2033825,
"Marital status","  Married or living common law",,   70055,,   35150,,   34905,, 2297325,, 1146175,, 1151150,
"Marital status","    Married",,   63180,,   31730,,   31445,, 1925345,,  959690,,  965645,
"Marital status","    Living common law",,    6875,,    3420,,    3460,,  371985,,  186485,,  185505,
"Marital status","  Not married and not living common law",,   45350,,   21085,,   24265,, 1659335,,  776660,,  882675,
"Marital status","    Never married",,   28865,,   15695,,   13170,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,    3105,,    1335,,    1770,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,    6745,,    2645,,    4095,,  263870,,  103475,,  160395,
