,,,"Coquitlam, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  139284,,,...,,..., 4648055,,,...,,...
"Population and dwellings","Population; 2011",1,  126804,r,,...,,..., 4400057,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      9.8,,,...,,...,      5.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   54393,,,...,,..., 2063417,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   51325,,,...,,..., 1881969,,,...,,...
"Population and dwellings","Population density per square kilometre",, 1138.9,,,...,,...,    5.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    122.30,,,...,,..., 922503.01,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  139285,,   68255,,   71030,, 4648055,, 2278245,, 2369815,
"Age characteristics","  0 to 14 years",,   22220,,   11395,,   10830,,  691390,,  355400,,  335985,
"Age characteristics","    0 to 4 years",,    6895,,    3550,,    3345,,  220625,,  113355,,  107275,
"Age characteristics","    5 to 9 years",,    7765,,    3890,,    3870,,  236900,,  122070,,  114830,
"Age characteristics","    10 to 14 years",,    7565,,    3955,,    3610,,  233860,,  119975,,  113885,
"Age characteristics","  15 to 64 years",,   97680,,   47975,,   49700,, 3107680,, 1527280,, 1580400,
"Age characteristics","    15 to 19 years",,    9085,,    4745,,    4340,,  258980,,  133000,,  125985,
"Age characteristics","    20 to 24 years",,    9700,,    5110,,    4595,,  287560,,  147615,,  139945,
"Age characteristics","    25 to 29 years",,    8620,,    4480,,    4150,,  303000,,  151585,,  151415,
"Age characteristics","    30 to 34 years",,    8940,,    4370,,    4570,,  313750,,  155035,,  158715,
"Age characteristics","    35 to 39 years",,    9005,,    4225,,    4785,,  293590,,  143070,,  150520,
"Age characteristics","    40 to 44 years",,    9835,,    4505,,    5330,,  295045,,  141930,,  153115,
"Age characteristics","    45 to 49 years",,   11370,,    5355,,    6015,,  322365,,  155325,,  167040,
