,,,"Langley, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  117285,,,...,,..., 4648055,,,...,,...
"Population and dwellings","Population; 2011",1,  104177,,,...,,..., 4400057,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,     12.6,,,...,,...,      5.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   43720,,,...,,..., 2063417,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   41982,,,...,,..., 1881969,,,...,,...
"Population and dwellings","Population density per square kilometre",,  380.8,,,...,,...,    5.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    308.03,,,...,,..., 922503.01,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  117285,,   57240,,   60050,, 4648055,, 2278245,, 2369815,
"Age characteristics","  0 to 14 years",,   21580,,   10965,,   10615,,  691390,,  355400,,  335985,
"Age characteristics","    0 to 4 years",,    6645,,    3395,,    3245,,  220625,,  113355,,  107275,
"Age characteristics","    5 to 9 years",,    7405,,    3800,,    3605,,  236900,,  122070,,  114830,
"Age characteristics","    10 to 14 years",,    7530,,    3770,,    3765,,  233860,,  119975,,  113885,
"Age characteristics","  15 to 64 years",,   77145,,   37750,,   39395,, 3107680,, 1527280,, 1580400,
"Age characteristics","    15 to 19 years",,    7580,,    3915,,    3660,,  258980,,  133000,,  125985,
"Age characteristics","    20 to 24 years",,    6755,,    3450,,    3305,,  287560,,  147615,,  139945,
"Age characteristics","    25 to 29 years",,    6260,,    2990,,    3275,,  303000,,  151585,,  151415,
"Age characteristics","    30 to 34 years",,    7280,,    3565,,    3715,,  313750,,  155035,,  158715,
"Age characteristics","    35 to 39 years",,    7630,,    3665,,    3965,,  293590,,  143070,,  150520,
"Age characteristics","    40 to 44 years",,    8075,,    3855,,    4225,,  295045,,  141930,,  153115,
"Age characteristics","    45 to 49 years",,    8515,,    4075,,    4445,,  322365,,  155325,,  167040,
"Age characteristics","    50 to 54 years",,    8990,,    4435,,    4555,,  354375,,  172065,,  182310,
"Age characteristics","    55 to 59 years",,    8630,,    4165,,    4460,,  354925,,  171210,,  183715,
"Age characteristics","    60 to 64 years",,    7440,,    3640,,    3800,,  324095,,  156450,,  167645,
"Age characteristics","  65 years and over",,   18560,,    8520,,   10040,,  848985,,  395560,,  453425,
"Age characteristics","    65 to 69 years",,    6390,,    3065,,    3330,,  287520,,  139490,,  148035,
"Age characteristics","    70 to 74 years",,    4630,,    2210,,    2425,,  201785,,   97675,,  104110,
"Age characteristics","    75 to 79 years",,    3030,,    1460,,    1570,,  145225,,   68715,,   76510,
"Age characteristics","    80 to 84 years",,    2135,,     955,,    1180,,  105255,,   48645,,   56610,
"Age characteristics","    85 years and over",,    2375,,     835,,    1540,,  109190,,   41035,,   68155,
"Age characteristics","      85 to 89 years",,    1470,,     565,,     905,,   67510,,   27930,,   39575,
"Age characteristics","      90 to 94 years",,     720,,     230,,     485,,   31815,,   10615,,   21205,
"Age characteristics","      95 to 99 years",,     165,,      35,,     130,,    8545,,    2215,,    6330,
"Age characteristics","      100 years and over",,      25,,      10,,      15,,    1325,,     275,,    1050,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   18.4,,   19.2,,   17.7,,   14.9,,   15.6,,   14.2,
"Age characteristics","  15 to 64 years",,   65.8,,   66.0,,   65.6,,   66.9,,   67.0,,   66.7,
"Age characteristics","  65 years and over",,   15.8,,   14.9,,   16.7,,   18.3,,   17.4,,   19.1,
"Age characteristics","    85 years and over",,    2.0,,    1.5,,    2.6,,    2.3,,    1.8,,    2.9,
"Age characteristics","Average age of the population",,   40.2,,   39.4,,   41.0,,   42.3,,   41.5,,   43.1,
