,,,"North Vancouver, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,   85935,,,...,,..., 4648055,,,...,,...
"Population and dwellings","Population; 2011",1,   84412,,,...,,..., 4400057,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      1.8,,,...,,...,      5.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   32624,,,...,,..., 2063417,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   31116,,,...,,..., 1881969,,,...,,...
"Population and dwellings","Population density per square kilometre",,  534.6,,,...,,...,    5.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    160.76,,,...,,..., 922503.01,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,   85935,,   41700,,   44235,, 4648055,, 2278245,, 2369815,
"Age characteristics","  0 to 14 years",,   14730,,    7600,,    7135,,  691390,,  355400,,  335985,
"Age characteristics","    0 to 4 years",,    4000,,    2105,,    1895,,  220625,,  113355,,  107275,
"Age characteristics","    5 to 9 years",,    5195,,    2705,,    2495,,  236900,,  122070,,  114830,
"Age characteristics","    10 to 14 years",,    5530,,    2790,,    2745,,  233860,,  119975,,  113885,
"Age characteristics","  15 to 64 years",,   56150,,   27210,,   28935,, 3107680,, 1527280,, 1580400,
"Age characteristics","    15 to 19 years",,    5880,,    3010,,    2870,,  258980,,  133000,,  125985,
"Age characteristics","    20 to 24 years",,    5115,,    2715,,    2400,,  287560,,  147615,,  139945,
"Age characteristics","    25 to 29 years",,    3595,,    1820,,    1770,,  303000,,  151585,,  151415,
"Age characteristics","    30 to 34 years",,    3705,,    1740,,    1970,,  313750,,  155035,,  158715,
"Age characteristics","    35 to 39 years",,    4815,,    2155,,    2660,,  293590,,  143070,,  150520,
"Age characteristics","    40 to 44 years",,    5995,,    2745,,    3250,,  295045,,  141930,,  153115,
"Age characteristics","    45 to 49 years",,    7035,,    3340,,    3695,,  322365,,  155325,,  167040,
"Age characteristics","    50 to 54 years",,    7305,,    3445,,    3855,,  354375,,  172065,,  182310,
"Age characteristics","    55 to 59 years",,    7145,,    3445,,    3700,,  354925,,  171210,,  183715,
"Age characteristics","    60 to 64 years",,    5550,,    2790,,    2760,,  324095,,  156450,,  167645,
"Age characteristics","  65 years and over",,   15055,,    6890,,    8165,,  848985,,  395560,,  453425,
"Age characteristics","    65 to 69 years",,    4690,,    2235,,    2455,,  287520,,  139490,,  148035,
"Age characteristics","    70 to 74 years",,    3695,,    1815,,    1885,,  201785,,   97675,,  104110,
"Age characteristics","    75 to 79 years",,    2600,,    1180,,    1415,,  145225,,   68715,,   76510,
"Age characteristics","    80 to 84 years",,    1940,,     855,,    1090,,  105255,,   48645,,   56610,
"Age characteristics","    85 years and over",,    2130,,     805,,    1320,,  109190,,   41035,,   68155,
"Age characteristics","      85 to 89 years",,    1310,,     555,,     755,,   67510,,   27930,,   39575,
"Age characteristics","      90 to 94 years",,     615,,     200,,     415,,   31815,,   10615,,   21205,
"Age characteristics","      95 to 99 years",,     180,,      50,,     135,,    8545,,    2215,,    6330,
"Age characteristics","      100 years and over",,      20,,       5,,      20,,    1325,,     275,,    1050,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   17.1,,   18.2,,   16.1,,   14.9,,   15.6,,   14.2,
"Age characteristics","  15 to 64 years",,   65.3,,   65.3,,   65.4,,   66.9,,   67.0,,   66.7,
"Age characteristics","  65 years and over",,   17.5,,   16.5,,   18.5,,   18.3,,   17.4,,   19.1,
"Age characteristics","    85 years and over",,    2.5,,    1.9,,    3.0,,    2.3,,    1.8,,    2.9,
"Age characteristics","Average age of the population",,   41.9,,   40.9,,   42.9,,   42.3,,   41.5,,   43.1,
"Age characteristics","Median age of the population",,   44.3,,   43.4,,   45.1,,   43.0,,   41.9,,   44.0,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   31115,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   16200,,,...,,...,  830660,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    2015,,,...,,...,  177830,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   12895,,,...,,...,  824190,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,     520,,,...,,...,   57395,,,...,,...
"Household and dwelling characteristics","    Row house",,    2825,,,...,,...,  147830,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    5510,,,...,,...,  230075,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    4030,,,...,,...,  385140,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,       5,,,...,,...,    3755,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,       5,,,...,,...,   49290,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   31115,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  1 person",,    6140,,,...,,...,  541910,,,...,,...
"Household and dwelling characteristics","  2 persons",,    9765,,,...,,...,  663770,,,...,,...
"Household and dwelling characteristics","  3 persons",,    5705,,,...,,...,  277690,,,...,,...
"Household and dwelling characteristics","  4 persons",,    6620,,,...,,...,  243125,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    2885,,,...,,...,  155470,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,   84880,,,...,,..., 4560240,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.7,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   71205,,   34100,,   37100,, 3956665,, 1922840,, 2033825,
"Marital status","  Married or living common law",,   44485,,   22100,,   22385,, 2297325,, 1146175,, 1151150,
"Marital status","    Married",,   39810,,   19775,,   20035,, 1925345,,  959690,,  965645,
