,,,"Richmond, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  198309,,,...,,..., 4648055,,,...,,...
"Population and dwellings","Population; 2011",1,  190473,,,...,,..., 4400057,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.1,,,...,,...,      5.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   77478,,,...,,..., 2063417,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   73457,,,...,,..., 1881969,,,...,,...
"Population and dwellings","Population density per square kilometre",, 1534.1,,,...,,...,    5.0,,,...,,...
"Population and dwellings","Land area in square kilometres",,    129.27,,,...,,..., 922503.01,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  198310,,   94660,,  103650,, 4648055,, 2278245,, 2369815,
"Age characteristics","  0 to 14 years",,   27240,,   14020,,   13220,,  691390,,  355400,,  335985,
"Age characteristics","    0 to 4 years",,    8905,,    4580,,    4330,,  220625,,  113355,,  107275,
"Age characteristics","    5 to 9 years",,    8925,,    4545,,    4375,,  236900,,  122070,,  114830,
"Age characteristics","    10 to 14 years",,    9410,,    4895,,    4515,,  233860,,  119975,,  113885,
"Age characteristics","  15 to 64 years",,  137420,,   65145,,   72280,, 3107680,, 1527280,, 1580400,
"Age characteristics","    15 to 19 years",,   11530,,    5935,,    5595,,  258980,,  133000,,  125985,
"Age characteristics","    20 to 24 years",,   13795,,    7100,,    6700,,  287560,,  147615,,  139945,
"Age characteristics","    25 to 29 years",,   13860,,    6925,,    6935,,  303000,,  151585,,  151415,
"Age characteristics","    30 to 34 years",,   12730,,    6175,,    6555,,  313750,,  155035,,  158715,
"Age characteristics","    35 to 39 years",,   11635,,    5520,,    6120,,  293590,,  143070,,  150520,
"Age characteristics","    40 to 44 years",,   12305,,    5365,,    6940,,  295045,,  141930,,  153115,
"Age characteristics","    45 to 49 years",,   15025,,    6625,,    8395,,  322365,,  155325,,  167040,
"Age characteristics","    50 to 54 years",,   16565,,    7545,,    9015,,  354375,,  172065,,  182310,
"Age characteristics","    55 to 59 years",,   15825,,    7265,,    8560,,  354925,,  171210,,  183715,
"Age characteristics","    60 to 64 years",,   14155,,    6695,,    7460,,  324095,,  156450,,  167645,
"Age characteristics","  65 years and over",,   33650,,   15495,,   18155,,  848985,,  395560,,  453425,
"Age characteristics","    65 to 69 years",,   12050,,    5745,,    6305,,  287520,,  139490,,  148035,
"Age characteristics","    70 to 74 years",,    7530,,    3610,,    3925,,  201785,,   97675,,  104110,
"Age characteristics","    75 to 79 years",,    5735,,    2650,,    3085,,  145225,,   68715,,   76510,
"Age characteristics","    80 to 84 years",,    4265,,    1970,,    2300,,  105255,,   48645,,   56610,
"Age characteristics","    85 years and over",,    4065,,    1525,,    2545,,  109190,,   41035,,   68155,
"Age characteristics","      85 to 89 years",,    2585,,    1050,,    1535,,   67510,,   27930,,   39575,
"Age characteristics","      90 to 94 years",,    1095,,     365,,     730,,   31815,,   10615,,   21205,
"Age characteristics","      95 to 99 years",,     320,,      95,,     225,,    8545,,    2215,,    6330,
"Age characteristics","      100 years and over",,      65,,      10,,      55,,    1325,,     275,,    1050,
