"Census Profile, 2021 Census of Population"
,,,"Burnaby, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,249125,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,232755,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    7.0,"",,"...",,"...",    7.0,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2,107046,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3,101136,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 2750.7,"",,"...",,"...", 2750.7,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   90.57,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,249120,"",122520,"",126600,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 32295,"", 16690,"", 15605,"",   13.0,"",   13.6,"",   12.3,"",
"Age characteristics","    0 to 4 years",, 10510,"",  5355,"",  5155,"",    4.2,"",    4.4,"",    4.1,"",
"Age characteristics","    5 to 9 years",, 10980,"",  5740,"",  5240,"",    4.4,"",    4.7,"",    4.1,"",
"Age characteristics","    10 to 14 years",, 10805,"",  5595,"",  5210,"",    4.3,"",    4.6,"",    4.1,"",
"Age characteristics","  15 to 64 years",,172720,"", 85610,"", 87115,"",   69.3,"",   69.9,"",   68.8,"",
"Age characteristics","    15 to 19 years",, 11190,"",  5805,"",  5385,"",    4.5,"",    4.7,"",    4.3,"",
"Age characteristics","    20 to 24 years",, 17160,"",  8840,"",  8320,"",    6.9,"",    7.2,"",    6.6,"",
"Age characteristics","    25 to 29 years",, 21455,"", 11040,"", 10410,"",    8.6,"",    9.0,"",    8.2,"",
"Age characteristics","    30 to 34 years",, 22270,"", 11400,"", 10865,"",    8.9,"",    9.3,"",    8.6,"",
"Age characteristics","    35 to 39 years",, 19380,"",  9835,"",  9545,"",    7.8,"",    8.0,"",    7.5,"",
"Age characteristics","    40 to 44 years",, 16505,"",  8140,"",  8365,"",    6.6,"",    6.6,"",    6.6,"",
"Age characteristics","    45 to 49 years",, 15510,"",  7300,"",  8210,"",    6.2,"",    6.0,"",    6.5,"",
"Age characteristics","    50 to 54 years",, 16395,"",  7635,"",  8760,"",    6.6,"",    6.2,"",    6.9,"",
"Age characteristics","    55 to 59 years",, 17380,"",  8220,"",  9165,"",    7.0,"",    6.7,"",    7.2,"",
"Age characteristics","    60 to 64 years",, 15475,"",  7390,"",  8090,"",    6.2,"",    6.0,"",    6.4,"",
"Age characteristics","  65 years and over",, 44110,"", 20225,"", 23885,"",   17.7,"",   16.5,"",   18.9,"",
"Age characteristics","    65 to 69 years",, 13615,"",  6460,"",  7155,"",    5.5,"",    5.3,"",    5.7,"",
"Age characteristics","    70 to 74 years",, 11045,"",  5190,"",  5855,"",    4.4,"",    4.2,"",    4.6,"",
"Age characteristics","    75 to 79 years",,  7240,"",  3315,"",  3925,"",    2.9,"",    2.7,"",    3.1,"",
"Age characteristics","    80 to 84 years",,  5730,"",  2590,"",  3140,"",    2.3,"",    2.1,"",    2.5,"",
"Age characteristics","    85 years and over",,  6475,"",  2665,"",  3810,"",    2.6,"",    2.2,"",    3.0,"",
"Age characteristics","      85 to 89 years",,  3840,"",  1755,"",  2080,"",    1.5,"",    1.4,"",    1.6,"",
"Age characteristics","      90 to 94 years",,  2040,"",   735,"",  1305,"",    0.8,"",    0.6,"",    1.0,"",
"Age characteristics","      95 to 99 years",,   530,"",   150,"",   375,"",    0.2,"",    0.1,"",    0.3,"",
"Age characteristics","      100 years and over",,    75,"",    25,"",    50,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   13.0,"",   13.6,"",   12.3,"",   13.0,"",   13.6,"",   12.3,"",
"Age characteristics","  15 to 64 years",,   69.3,"",   69.9,"",   68.8,"",   69.3,"",   69.9,"",   68.8,"",
"Age characteristics","  65 years and over",,   17.7,"",   16.5,"",   18.9,"",   17.7,"",   16.5,"",   18.9,"",
"Age characteristics","    85 years and over",,    2.6,"",    2.2,"",    3.0,"",    2.6,"",    2.2,"",    3.0,"",
"Age characteristics","Average age of the population",,   42.0,"",   40.9,"",   43.0,"",   42.0,"",   40.9,"",   43.0,"",
"Age characteristics","Median age of the population",,   40.4,"",   38.8,"",   41.6,"",   40.4,"",   38.8,"",   41.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",,101140,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 19080,"",,"...",,"...",   18.9,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  2885,"",,"...",,"...",    2.9,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  8770,"",,"...",,"...",    8.7,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",, 16650,"",,"...",,"...",   16.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 23835,"",,"...",,"...",   23.6,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 29715,"",,"...",,"...",   29.4,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,   195,"",,"...",,"...",    0.2,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",,101135,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 29575,"",,"...",,"...",   29.2,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 33180,"",,"...",,"...",   32.8,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",, 17015,"",,"...",,"...",   16.8,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",, 13325,"",,"...",,"...",   13.2,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  8040,"",,"...",,"...",    7.9,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,245725,"",121040,"",124680,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.4,"",,"...",,"...",    2.4,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,216825,"",105830,"",110995,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",,120820,"", 60220,"", 60600,"",   55.7,"",   56.9,"",   54.6,"",
"Marital status","    Married",,105275,"", 52365,"", 52910,"",   48.6,"",   49.5,"",   47.7,"",
"Marital status","    Living common-law",, 15545,"",  7860,"",  7685,"",    7.2,"",    7.4,"",    6.9,"",
"Marital status","      Living common law - Never married",, 12675,"",  6415,"",  6260,"",    5.8,"",    6.1,"",    5.6,"",
"Marital status","      Living common law - Separated",,   435,"",   225,"",   205,"",    0.2,"",    0.2,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  2260,"",  1135,"",  1120,"",    1.0,"",    1.1,"",    1.0,"",
"Marital status","      Living common law - Widowed",,   175,"",    80,"",   100,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 96000,"", 45605,"", 50395,"",   44.3,"",   43.1,"",   45.4,"",
"Marital status","    Not married and not living common law - Never married",, 68445,"", 37000,"", 31450,"",   31.6,"",   35.0,"",   28.3,"",
"Marital status","    Not married and not living common law - Separated",,  4980,"",  2020,"",  2960,"",    2.3,"",    1.9,"",    2.7,"",
"Marital status","    Not married and not living common law - Divorced",, 12455,"",  4610,"",  7850,"",    5.7,"",    4.4,"",    7.1,"",
"Marital status","    Not married and not living common law - Widowed",, 10120,"",  1975,"",  8150,"",    4.7,"",    1.9,"",    7.3,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 68355,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 34720,"",,"...",,"...",   50.8,"",,"...",,"...",
"Family characteristics","  3 persons",, 16775,"",,"...",,"...",   24.5,"",,"...",,"...",
"Family characteristics","  4 persons",, 13275,"",,"...",,"...",   19.4,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  3585,"",,"...",,"...",    5.2,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 68355,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 57610,"",,"...",,"...",   84.3,"",,"...",,"...",
"Family characteristics","    Married couples",, 49835,"",,"...",,"...",   72.9,"",,"...",,"...",
"Family characteristics","      With children",6, 28305,"",,"...",,"...",   41.4,"",,"...",,"...",
"Family characteristics","      Without children",, 21530,"",,"...",,"...",   31.5,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  7775,"",,"...",,"...",   11.4,"",,"...",,"...",
"Family characteristics","      With children",6,  1795,"",,"...",,"...",    2.6,"",,"...",,"...",
"Family characteristics","      Without children",,  5980,"",,"...",,"...",    8.7,"",,"...",,"...",
"Family characteristics","  Total one-parent families",, 10745,"",,"...",,"...",   15.7,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  8745,"",,"...",,"...",   12.8,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  2005,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,245725,"",121045,"",124680,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",,191605,"", 94355,"", 97250,"",   78.0,"",   78.0,"",   78.0,"",
"Family characteristics","    Married spouses or common-law partners",,115215,"", 57660,"", 57550,"",   46.9,"",   47.6,"",   46.2,"",
"Family characteristics","    Parents in one-parent families",, 10750,"",  2000,"",  8745,"",    4.4,"",    1.7,"",    7.0,"",
"Family characteristics","    Children",6, 65645,"", 34690,"", 30955,"",   26.7,"",   28.7,"",   24.8,"",
"Family characteristics","      In a two-parent family",, 50505,"", 26535,"", 23975,"",   20.6,"",   21.9,"",   19.2,"",
"Family characteristics","      In a one-parent family",, 15140,"",  8160,"",  6985,"",    6.2,"",    6.7,"",    5.6,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 54115,"", 26685,"", 27430,"",   22.0,"",   22.0,"",   22.0,"",
"Family characteristics","    Living alone",, 29575,"", 14055,"", 15525,"",   12.0,"",   11.6,"",   12.5,"",
"Family characteristics","    Living with other relatives",7,  8245,"",  3210,"",  5030,"",    3.4,"",    2.7,"",    4.0,"",
"Family characteristics","    Living with non-relatives only",, 16305,"",  9425,"",  6880,"",    6.6,"",    7.8,"",    5.5,"",
"Household type","Total - Household type - 100% data",,101135,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 55410,"",,"...",,"...",   54.8,"",,"...",,"...",
"Household type","    Couple-family households",, 47280,"",,"...",,"...",   46.7,"",,"...",,"...",
"Household type","      With children",6, 24750,"",,"...",,"...",   24.5,"",,"...",,"...",
"Household type","      Without children",, 22530,"",,"...",,"...",   22.3,"",,"...",,"...",
"Household type","    One-parent-family households",,  8135,"",,"...",,"...",    8.0,"",,"...",,"...",
"Household type","  Multigenerational households",8,  4090,"",,"...",,"...",    4.0,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,  1135,"",,"...",,"...",    1.1,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  4110,"",,"...",,"...",    4.1,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  6815,"",,"...",,"...",    6.7,"",,"...",,"...",
"Household type","  One-person households",, 29575,"",,"...",,"...",   29.2,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,213475,"",104380,"",109095,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,206675,"",101160,"",105510,"",   96.8,"",   96.9,"",   96.7,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 38400,"", 43200,"", 34400,"", 38400,"", 43200,"", 34400,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,206730,"",101200,"",105530,"",   96.8,"",   97.0,"",   96.7,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 35200,"", 39200,"", 32400,"", 35200,"", 39200,"", 32400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,183615,"", 91065,"", 92560,"",   86.0,"",   87.2,"",   84.8,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 34000,"", 41200,"", 28000,"", 34000,"", 41200,"", 28000,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,146750,"", 75115,"", 71640,"",   68.7,"",   72.0,"",   65.7,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 39200,"", 45600,"", 33200,"", 39200,"", 45600,"", 33200,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,172810,"", 80150,"", 92660,"",   81.0,"",   76.8,"",   84.9,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8000,"",  7000,"",  8800,"",  8000,"",  7000,"",  8800,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 17890,"",  7935,"",  9955,"",    8.4,"",    7.6,"",    9.1,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5520,"",  5480,"",  5640,"",  5520,"",  5480,"",  5640,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 60185,"", 29540,"", 30645,"",   28.2,"",   28.3,"",   28.1,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9500,"",  9000,"", 10000,"",  9500,"",  9000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,213475,"",104550,"",108925,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,206385,"",101105,"",105275,"",   96.7,"",   96.7,"",   96.6,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 51500,"", 59200,"", 44080,"", 51500,"", 59200,"", 44080,"",
