"Census Profile, 2021 Census of Population"
,,,"Coquitlam, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,148625,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,139284,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    6.7,"",,"...",,"...",    6.7,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 58683,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 55949,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 1216.7,"",,"...",,"...", 1216.7,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,  122.15,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,148625,"", 73005,"", 75620,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 22400,"", 11415,"", 10985,"",   15.1,"",   15.6,"",   14.5,"",
"Age characteristics","    0 to 4 years",,  6405,"",  3280,"",  3130,"",    4.3,"",    4.5,"",    4.1,"",
"Age characteristics","    5 to 9 years",,  7545,"",  3860,"",  3690,"",    5.1,"",    5.3,"",    4.9,"",
"Age characteristics","    10 to 14 years",,  8445,"",  4275,"",  4165,"",    5.7,"",    5.9,"",    5.5,"",
"Age characteristics","  15 to 64 years",,101955,"", 50185,"", 51770,"",   68.6,"",   68.7,"",   68.5,"",
"Age characteristics","    15 to 19 years",,  8590,"",  4505,"",  4085,"",    5.8,"",    6.2,"",    5.4,"",
"Age characteristics","    20 to 24 years",,  9280,"",  4795,"",  4480,"",    6.2,"",    6.6,"",    5.9,"",
"Age characteristics","    25 to 29 years",,  9715,"",  5100,"",  4610,"",    6.5,"",    7.0,"",    6.1,"",
"Age characteristics","    30 to 34 years",, 10245,"",  5260,"",  4990,"",    6.9,"",    7.2,"",    6.6,"",
"Age characteristics","    35 to 39 years",, 10730,"",  5200,"",  5525,"",    7.2,"",    7.1,"",    7.3,"",
"Age characteristics","    40 to 44 years",, 10355,"",  4885,"",  5470,"",    7.0,"",    6.7,"",    7.2,"",
"Age characteristics","    45 to 49 years",, 10430,"",  4780,"",  5655,"",    7.0,"",    6.5,"",    7.5,"",
"Age characteristics","    50 to 54 years",, 11480,"",  5450,"",  6025,"",    7.7,"",    7.5,"",    8.0,"",
"Age characteristics","    55 to 59 years",, 11080,"",  5420,"",  5665,"",    7.5,"",    7.4,"",    7.5,"",
"Age characteristics","    60 to 64 years",, 10055,"",  4790,"",  5265,"",    6.8,"",    6.6,"",    7.0,"",
"Age characteristics","  65 years and over",, 24270,"", 11410,"", 12860,"",   16.3,"",   15.6,"",   17.0,"",
"Age characteristics","    65 to 69 years",,  8390,"",  4105,"",  4285,"",    5.6,"",    5.6,"",    5.7,"",
"Age characteristics","    70 to 74 years",,  6290,"",  2975,"",  3315,"",    4.2,"",    4.1,"",    4.4,"",
"Age characteristics","    75 to 79 years",,  4050,"",  1895,"",  2155,"",    2.7,"",    2.6,"",    2.8,"",
"Age characteristics","    80 to 84 years",,  2880,"",  1290,"",  1590,"",    1.9,"",    1.8,"",    2.1,"",
"Age characteristics","    85 years and over",,  2660,"",  1140,"",  1515,"",    1.8,"",    1.6,"",    2.0,"",
"Age characteristics","      85 to 89 years",,  1735,"",   770,"",   965,"",    1.2,"",    1.1,"",    1.3,"",
"Age characteristics","      90 to 94 years",,   730,"",   320,"",   405,"",    0.5,"",    0.4,"",    0.5,"",
"Age characteristics","      95 to 99 years",,   175,"",    40,"",   135,"",    0.1,"",    0.1,"",    0.2,"",
"Age characteristics","      100 years and over",,    20,"",     5,"",    15,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   15.1,"",   15.6,"",   14.5,"",   15.1,"",   15.6,"",   14.5,"",
"Age characteristics","  15 to 64 years",,   68.6,"",   68.7,"",   68.5,"",   68.6,"",   68.7,"",   68.5,"",
"Age characteristics","  65 years and over",,   16.3,"",   15.6,"",   17.0,"",   16.3,"",   15.6,"",   17.0,"",
"Age characteristics","    85 years and over",,    1.8,"",    1.6,"",    2.0,"",    1.8,"",    1.6,"",    2.0,"",
"Age characteristics","Average age of the population",,   41.4,"",   40.6,"",   42.2,"",   41.4,"",   40.6,"",   42.2,"",
"Age characteristics","Median age of the population",,   41.6,"",   40.4,"",   42.8,"",   41.6,"",   40.4,"",   42.8,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 55945,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 19705,"",,"...",,"...",   35.2,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  1635,"",,"...",,"...",    2.9,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  5510,"",,"...",,"...",    9.8,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  8590,"",,"...",,"...",   15.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 11860,"",,"...",,"...",   21.2,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  8370,"",,"...",,"...",   15.0,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    35,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,   250,"",,"...",,"...",    0.4,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 55950,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 12820,"",,"...",,"...",   22.9,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 17730,"",,"...",,"...",   31.7,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",, 10600,"",,"...",,"...",   18.9,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  9625,"",,"...",,"...",   17.2,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  5180,"",,"...",,"...",    9.3,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,147465,"", 72515,"", 74950,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.6,"",,"...",,"...",    2.6,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,126225,"", 61590,"", 64630,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 75515,"", 37450,"", 38060,"",   59.8,"",   60.8,"",   58.9,"",
"Marital status","    Married",, 66955,"", 33165,"", 33790,"",   53.0,"",   53.8,"",   52.3,"",
"Marital status","    Living common-law",,  8560,"",  4290,"",  4270,"",    6.8,"",    7.0,"",    6.6,"",
"Marital status","      Living common law - Never married",,  6390,"",  3200,"",  3190,"",    5.1,"",    5.2,"",    4.9,"",
"Marital status","      Living common law - Separated",,   355,"",   195,"",   160,"",    0.3,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1680,"",   835,"",   845,"",    1.3,"",    1.4,"",    1.3,"",
"Marital status","      Living common law - Widowed",,   135,"",    55,"",    80,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 50710,"", 24140,"", 26570,"",   40.2,"",   39.2,"",   41.1,"",
"Marital status","    Not married and not living common law - Never married",, 35730,"", 19495,"", 16235,"",   28.3,"",   31.7,"",   25.1,"",
"Marital status","    Not married and not living common law - Separated",,  2975,"",  1140,"",  1830,"",    2.4,"",    1.9,"",    2.8,"",
"Marital status","    Not married and not living common law - Divorced",,  6815,"",  2460,"",  4350,"",    5.4,"",    4.0,"",    6.7,"",
"Marital status","    Not married and not living common law - Widowed",,  5195,"",  1040,"",  4155,"",    4.1,"",    1.7,"",    6.4,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 43105,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 19745,"",,"...",,"...",   45.8,"",,"...",,"...",
"Family characteristics","  3 persons",, 11040,"",,"...",,"...",   25.6,"",,"...",,"...",
"Family characteristics","  4 persons",,  9790,"",,"...",,"...",   22.7,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  2535,"",,"...",,"...",    5.9,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.9,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 43105,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 36520,"",,"...",,"...",   84.7,"",,"...",,"...",
"Family characteristics","    Married couples",, 32245,"",,"...",,"...",   74.8,"",,"...",,"...",
"Family characteristics","      With children",6, 19600,"",,"...",,"...",   45.5,"",,"...",,"...",
"Family characteristics","      Without children",, 12645,"",,"...",,"...",   29.3,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  4280,"",,"...",,"...",    9.9,"",,"...",,"...",
"Family characteristics","      With children",6,  1340,"",,"...",,"...",    3.1,"",,"...",,"...",
"Family characteristics","      Without children",,  2940,"",,"...",,"...",    6.8,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  6585,"",,"...",,"...",   15.3,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  5240,"",,"...",,"...",   12.2,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  1345,"",,"...",,"...",    3.1,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,147465,"", 72515,"", 74950,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",,125040,"", 61905,"", 63135,"",   84.8,"",   85.4,"",   84.2,"",
"Family characteristics","    Married spouses or common-law partners",, 73045,"", 36510,"", 36535,"",   49.5,"",   50.3,"",   48.7,"",
"Family characteristics","    Parents in one-parent families",,  6585,"",  1350,"",  5240,"",    4.5,"",    1.9,"",    7.0,"",
"Family characteristics","    Children",6, 45410,"", 24045,"", 21360,"",   30.8,"",   33.2,"",   28.5,"",
"Family characteristics","      In a two-parent family",, 35765,"", 18865,"", 16905,"",   24.3,"",   26.0,"",   22.6,"",
