"Census Profile, 2021 Census of Population"
,,,"Maple Ridge, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1, 90990,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1, 82256,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,   10.6,"",,"...",,"...",   10.6,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 34254,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 33103,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",,  339.7,"",,"...",,"...",  339.7,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,  267.82,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",, 90990,"", 44885,"", 46110,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 16070,"",  8325,"",  7750,"",   17.7,"",   18.5,"",   16.8,"",
"Age characteristics","    0 to 4 years",,  4985,"",  2625,"",  2355,"",    5.5,"",    5.8,"",    5.1,"",
"Age characteristics","    5 to 9 years",,  5500,"",  2815,"",  2690,"",    6.0,"",    6.3,"",    5.8,"",
"Age characteristics","    10 to 14 years",,  5580,"",  2880,"",  2700,"",    6.1,"",    6.4,"",    5.9,"",
"Age characteristics","  15 to 64 years",, 60310,"", 30020,"", 30290,"",   66.3,"",   66.9,"",   65.7,"",
"Age characteristics","    15 to 19 years",,  5250,"",  2735,"",  2515,"",    5.8,"",    6.1,"",    5.5,"",
"Age characteristics","    20 to 24 years",,  4895,"",  2570,"",  2330,"",    5.4,"",    5.7,"",    5.1,"",
"Age characteristics","    25 to 29 years",,  4900,"",  2515,"",  2380,"",    5.4,"",    5.6,"",    5.2,"",
"Age characteristics","    30 to 34 years",,  5975,"",  2885,"",  3090,"",    6.6,"",    6.4,"",    6.7,"",
"Age characteristics","    35 to 39 years",,  6850,"",  3375,"",  3470,"",    7.5,"",    7.5,"",    7.5,"",
"Age characteristics","    40 to 44 years",,  6240,"",  3050,"",  3190,"",    6.9,"",    6.8,"",    6.9,"",
"Age characteristics","    45 to 49 years",,  6130,"",  2985,"",  3150,"",    6.7,"",    6.7,"",    6.8,"",
"Age characteristics","    50 to 54 years",,  6805,"",  3390,"",  3415,"",    7.5,"",    7.6,"",    7.4,"",
"Age characteristics","    55 to 59 years",,  6890,"",  3375,"",  3515,"",    7.6,"",    7.5,"",    7.6,"",
"Age characteristics","    60 to 64 years",,  6375,"",  3135,"",  3240,"",    7.0,"",    7.0,"",    7.0,"",
"Age characteristics","  65 years and over",, 14615,"",  6545,"",  8070,"",   16.1,"",   14.6,"",   17.5,"",
"Age characteristics","    65 to 69 years",,  4895,"",  2355,"",  2545,"",    5.4,"",    5.2,"",    5.5,"",
"Age characteristics","    70 to 74 years",,  3940,"",  1800,"",  2145,"",    4.3,"",    4.0,"",    4.7,"",
"Age characteristics","    75 to 79 years",,  2470,"",  1125,"",  1345,"",    2.7,"",    2.5,"",    2.9,"",
"Age characteristics","    80 to 84 years",,  1610,"",   675,"",   935,"",    1.8,"",    1.5,"",    2.0,"",
"Age characteristics","    85 years and over",,  1690,"",   595,"",  1095,"",    1.9,"",    1.3,"",    2.4,"",
"Age characteristics","      85 to 89 years",,  1075,"",   410,"",   660,"",    1.2,"",    0.9,"",    1.4,"",
"Age characteristics","      90 to 94 years",,   450,"",   140,"",   315,"",    0.5,"",    0.3,"",    0.7,"",
"Age characteristics","      95 to 99 years",,   140,"",    35,"",   100,"",    0.2,"",    0.1,"",    0.2,"",
"Age characteristics","      100 years and over",,    25,"",     5,"",    15,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   17.7,"",   18.5,"",   16.8,"",   17.7,"",   18.5,"",   16.8,"",
"Age characteristics","  15 to 64 years",,   66.3,"",   66.9,"",   65.7,"",   66.3,"",   66.9,"",   65.7,"",
"Age characteristics","  65 years and over",,   16.1,"",   14.6,"",   17.5,"",   16.1,"",   14.6,"",   17.5,"",
"Age characteristics","    85 years and over",,    1.9,"",    1.3,"",    2.4,"",    1.9,"",    1.3,"",    2.4,"",
"Age characteristics","Average age of the population",,   40.8,"",   39.7,"",   41.8,"",   40.8,"",   39.7,"",   41.8,"",
"Age characteristics","Median age of the population",,   41.2,"",   40.0,"",   42.4,"",   41.2,"",   40.0,"",   42.4,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 33100,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 17410,"",,"...",,"...",   52.6,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,   945,"",,"...",,"...",    2.9,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  4405,"",,"...",,"...",   13.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  4375,"",,"...",,"...",   13.2,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  4760,"",,"...",,"...",   14.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  1000,"",,"...",,"...",    3.0,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,   195,"",,"...",,"...",    0.6,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 33105,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",,  7315,"",,"...",,"...",   22.1,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 10425,"",,"...",,"...",   31.5,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  5740,"",,"...",,"...",   17.3,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  5880,"",,"...",,"...",   17.8,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  3735,"",,"...",,"...",   11.3,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",, 89840,"", 44455,"", 45385,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.7,"",,"...",,"...",    2.7,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 74920,"", 36560,"", 38360,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 45305,"", 22560,"", 22750,"",   60.5,"",   61.7,"",   59.3,"",
"Marital status","    Married",, 37570,"", 18710,"", 18855,"",   50.1,"",   51.2,"",   49.2,"",
"Marital status","    Living common-law",,  7735,"",  3845,"",  3890,"",   10.3,"",   10.5,"",   10.1,"",
"Marital status","      Living common law - Never married",,  5360,"",  2725,"",  2640,"",    7.2,"",    7.5,"",    6.9,"",
"Marital status","      Living common law - Separated",,   440,"",   210,"",   230,"",    0.6,"",    0.6,"",    0.6,"",
"Marital status","      Living common law - Divorced",,  1775,"",   835,"",   935,"",    2.4,"",    2.3,"",    2.4,"",
"Marital status","      Living common law - Widowed",,   155,"",    65,"",    90,"",    0.2,"",    0.2,"",    0.2,"",
"Marital status","  Not married and not living common-law",, 29615,"", 14000,"", 15610,"",   39.5,"",   38.3,"",   40.7,"",
"Marital status","    Not married and not living common law - Never married",, 19140,"", 10670,"",  8475,"",   25.5,"",   29.2,"",   22.1,"",
"Marital status","    Not married and not living common law - Separated",,  2180,"",   875,"",  1310,"",    2.9,"",    2.4,"",    3.4,"",
"Marital status","    Not married and not living common law - Divorced",,  4640,"",  1735,"",  2900,"",    6.2,"",    4.7,"",    7.6,"",
"Marital status","    Not married and not living common law - Widowed",,  3655,"",   720,"",  2925,"",    4.9,"",    2.0,"",    7.6,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 26070,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 12085,"",,"...",,"...",   46.4,"",,"...",,"...",
"Family characteristics","  3 persons",,  6000,"",,"...",,"...",   23.0,"",,"...",,"...",
"Family characteristics","  4 persons",,  5895,"",,"...",,"...",   22.6,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  2085,"",,"...",,"...",    8.0,"",,"...",,"...",
"Family characteristics","Average size of census families",,    3.0,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 26075,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 22160,"",,"...",,"...",   85.0,"",,"...",,"...",
"Family characteristics","    Married couples",, 18290,"",,"...",,"...",   70.1,"",,"...",,"...",
"Family characteristics","      With children",6, 10830,"",,"...",,"...",   41.5,"",,"...",,"...",
"Family characteristics","      Without children",,  7465,"",,"...",,"...",   28.6,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  3865,"",,"...",,"...",   14.8,"",,"...",,"...",
"Family characteristics","      With children",6,  1650,"",,"...",,"...",    6.3,"",,"...",,"...",
"Family characteristics","      Without children",,  2215,"",,"...",,"...",    8.5,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  3915,"",,"...",,"...",   15.0,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  2945,"",,"...",,"...",   11.3,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   965,"",,"...",,"...",    3.7,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",, 89840,"", 44455,"", 45385,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 76805,"", 38400,"", 38410,"",   85.5,"",   86.4,"",   84.6,"",
"Family characteristics","    Married spouses or common-law partners",, 44320,"", 22100,"", 22220,"",   49.3,"",   49.7,"",   49.0,"",
"Family characteristics","    Parents in one-parent families",,  3910,"",   965,"",  2950,"",    4.4,"",    2.2,"",    6.5,"",
"Family characteristics","    Children",6, 28570,"", 15335,"", 13240,"",   31.8,"",   34.5,"",   29.2,"",
"Family characteristics","      In a two-parent family",, 22745,"", 12090,"", 10660,"",   25.3,"",   27.2,"",   23.5,"",
"Family characteristics","      In a one-parent family",,  5825,"",  3240,"",  2580,"",    6.5,"",    7.3,"",    5.7,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 13035,"",  6060,"",  6980,"",   14.5,"",   13.6,"",   15.4,"",
"Family characteristics","    Living alone",,  7315,"",  3360,"",  3960,"",    8.1,"",    7.6,"",    8.7,"",
"Family characteristics","    Living with other relatives",7,  2525,"",   940,"",  1590,"",    2.8,"",    2.1,"",    3.5,"",
"Family characteristics","    Living with non-relatives only",,  3190,"",  1765,"",  1425,"",    3.6,"",    4.0,"",    3.1,"",
"Household type","Total - Household type - 100% data",, 33105,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 20865,"",,"...",,"...",   63.0,"",,"...",,"...",
"Household type","    Couple-family households",, 18090,"",,"...",,"...",   54.6,"",,"...",,"...",
"Household type","      With children",6, 10265,"",,"...",,"...",   31.0,"",,"...",,"...",
"Household type","      Without children",,  7825,"",,"...",,"...",   23.6,"",,"...",,"...",
"Household type","    One-parent-family households",,  2775,"",,"...",,"...",    8.4,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1680,"",,"...",,"...",    5.1,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   480,"",,"...",,"...",    1.4,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1645,"",,"...",,"...",    5.0,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  1110,"",,"...",,"...",    3.4,"",,"...",,"...",
"Household type","  One-person households",,  7315,"",,"...",,"...",   22.1,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 73775,"", 36140,"", 37635,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 71240,"", 34895,"", 36350,"",   96.6,"",   96.6,"",   96.6,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 44800,"", 56000,"", 37600,"", 44800,"", 56000,"", 37600,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 71305,"", 34925,"", 36380,"",   96.7,"",   96.6,"",   96.7,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 40800,"", 49200,"", 34800,"", 40800,"", 49200,"", 34800,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 64430,"", 32260,"", 32170,"",   87.3,"",   89.3,"",   85.5,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 40400,"", 54000,"", 30600,"", 40400,"", 54000,"", 30600,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 53145,"", 27405,"", 25740,"",   72.0,"",   75.8,"",   68.4,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 45200,"", 58800,"", 34800,"", 45200,"", 58800,"", 34800,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 56910,"", 25475,"", 31435,"",   77.1,"",   70.5,"",   83.5,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  9300,"",  8000,"", 10500,"",  9300,"",  8000,"", 10500,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  6530,"",  2690,"",  3840,"",    8.9,"",    7.4,"",   10.2,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5000,"",  5520,"",  5480,"",  5000,"",  5520,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 18140,"",  8285,"",  9855,"",   24.6,"",   22.9,"",   26.2,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8000,"",  8000,"",  8000,"",  8000,"",  8000,"",  8000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 73805,"", 36150,"", 37650,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 71340,"", 34940,"", 36400,"",   96.7,"",   96.7,"",   96.7,"",
